<<<<<<< HEAD
label,message
spam,Bet on horse racing and win 25 lakh! Register at betking.com
ham,Ard 530 lor. I ok then message ü lor.
spam,Axis Alert: Suspicious activity. Click winner.com to secure account
ham,I wanna watch that movie
ham,I'm available at 5pm
ham,What type of stuff do you sing?
spam,Gold loan at 7% interest! Apply at update.com
ham,You got called a tool?
spam,ad posting jobs - earn 10 crore daily! Join at lottery.in
spam,Airtel lottery winner! Prize: 10000 Rs. Contact +447310399942
spam,PhonePe KYC pending! Complete at secure.com to avoid block
spam,Online email reading - earn 25 lakh weekly! Join at secure.com
spam,Adult 18 Content Your video will be with you shortly
ham,Do ü all wan 2 meet up n combine all the parts? How's da rest of da project going?
ham,I'll send you the link
spam,Bet on IPL and win 1 lakh! Register at prize.in
ham,"Babe, I'm back ... Come back to me ..."
spam,Your number won 1 crore! Claim at winner.com
spam,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821
spam,MacBook at 80% discount! Buy now at verify.in
spam,Win 50000 Rs in kabaddi betting! Play now at kyc.in
ham,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.
ham,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
spam,HDFC Alert: Unusual transaction. Verify at secure.com
spam,Online captcha solving - earn 5 crore weekly! Join at betking.com
spam,Part time data entry - earn 2 crore monthly! Apply at claim.com
spam,Smart TV for 2 crore only! Limited stock at lottery.in
ham,Do you hide anythiing or keeping distance from me
ham,Cos darren say ü considering mah so i ask ü...
ham,Its sarcasm.. .nt scarcasim
spam,URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893
spam,Pre-approved loan of 1 lakh! No documents. Call +919876543210
ham,"In case you wake up wondering where I am, I forgot I have to take care of something for grandma today, should be done before the parade"
spam,Google Pay verification required! Update at winner.com within 48 hours
ham,"If i let you do this, i want you in the house by 8am."
ham,Shuhui has bought ron's present it's a swatch watch...
ham,Can you talk with me..
ham,Oh dang! I didn't mean o send that to you! Lol!
spam,PAN card refund of 2 crore pending! Claim at kyc.in
ham,I'll get the reservation for you
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
ham,Wow v v impressed. Have funs shopping!
spam,typing jobs - earn 2 crore per day! Register at prize.in
ham,Gettin rdy to ship comp
ham,Ha! I wouldn't say that I just didn't read anything into way u seemed. I don't like 2 be judgemental....i save that for fridays in the pub!
ham,"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz"
spam,Home loan at 5% interest! Apply at lottery.in
spam,Work from home - earn 25 lakh monthly! Register at kyc.in
ham,No objection. My bf not coming.
spam,AirPods for 50 lakh! Limited time at bet365.in
spam,"MacBook at 70% off! Hurry, buy at bet365.in"
ham,Tell me something. Thats okay.
ham,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?
spam,WhatsApp +919876543210 for form filling - earn 1 crore/month
spam,Amazon verification required! Update at verify.in within 48 hours
ham,"Ya, told..she was asking wats matter?"
ham,Let's calling together
ham,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! 
spam,Add me on WhatsApp +447890123456 to receive your lottery prize
spam,2/2 146tf150p
ham,", how's things? Just a quick question."
ham,Is ur paper today in e morn or aft?
spam,Credit card loan - get 2 crore in 24 hours. WhatsApp +919876543210
spam,PhonePe refund of 50000 Rs pending! Claim at winner.com
ham,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!"
spam,Laptop for 10 lakh only! Limited stock at prize.in
spam,PayTM KYC pending! Complete at betking.com to avoid block
spam,Bet on football and win 2 crore! Register at bet365.in
ham,Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x
ham,"I am in tirupur da, once you started from office call me."
ham,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march … ish!
ham,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ
ham,U should have made an appointment
ham,I'm e person who's doing e sms survey...
ham,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow
ham,I'll review the feedback tonight
spam,AirPods for 10 lakh only! Limited stock at winner.com
ham,Yay! You better not have told that to 5 other girls either.
spam,iPhone 14 for 10000 Rs only! Limited stock at prize.in
spam,form filling jobs - earn 25 lakh daily! Join at secure.com
spam,CONGRATULATIONS! You won 10000 Rs in Airtel lottery! Call +447890123456
ham,Guessin you ain't gonna be here before 9?
ham,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..
ham,Went to ganesh dress shop
ham,Daddy will take good care of you :)
spam,SMS sending jobs - earn 2500 daily! Join at sms-jobs.in
ham,"Sorry, I can't help you on this."
spam,"Watch at 90% off! Hurry, buy at betking.com"
spam,Canara Bank Alert: Suspicious activity. Click prize.in to secure account
ham,Yes :)it completely in out of form:)clark also utter waste.
ham,Our ride equally uneventful - not too many of those pesky cyclists around at that time of night ;).
spam,Work from home - earn 10 crore per month! WhatsApp +447310399942
spam,survey jobs - earn 2 crore per day! Register at betking.com
ham,I love working from home :)
ham,"Aight yo, dats straight dogg"
ham,Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.
ham,S:)8 min to go for lunch:)
spam,Credit card loan at 5% interest! Apply at kyc.in
ham,Thanks for the family
ham,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!"
spam,basketball betting - get 200% bonus! Join secure.com
ham,Annoying isn't it.
ham,Shall i come to get pickle
ham,I want  &lt;#&gt;  rs da:)do you have it?
ham,Tell me again what your address is
ham,Thanks for reviewing!
ham,Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
spam,BSNL lottery winner! Prize: 10 crore. Contact +918899776655
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe"
ham,O we cant see if we can join denis and mina? Or does denis want alone time
ham,So can collect ur laptop?
ham,"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola"
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week
spam,Laptop for 10 crore! Limited time at kyc.in
spam,Pre-approved loan of 50 lakh! No documents. Call +919876543210
spam,Samsung Galaxy for 5 crore only! Limited stock at secure.com
spam,Online email reading - earn 2 crore weekly! Join at prize.in
ham,"I'm available, will reach soon"
ham,That sucks. I'll go over so u can do my hair. You'll do it free right?
ham,Excellent
spam,horse racing betting - get 100% bonus! Join kyc.in
ham,"That day ü say ü cut ur hair at paragon, is it called hair sense? Do ü noe how much is a hair cut? "
ham,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
spam,Work from home - earn 5 crore monthly! Register at betking.com
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
spam,Google Pay refund of 10 lakh pending! Claim at verify.in
spam,Credit card loan at 6% interest! Apply at secure.com
ham,"fyi I'm at usf now, swing by the room whenever"
ham,"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas..."
spam,ICICI: Your debit card will expire. Renew at winner.com
ham,Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.
ham,Dont gimme that lip caveboy
spam,Win 50000 Rs in football betting! Play now at secure.com
ham,Dunno lei he neva say...
spam,TATA lottery winner! You won Tata Nexon car + 10 lakh cash! Verify now
ham,I'm wif him now buying tix lar...
ham,"Cool, what time you think you can get here?"
ham,Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?
spam,Smart TV for 25 lakh only! Limited stock at bet365.in
spam,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070
spam,Work from home - earn 1 lakh per month! WhatsApp +919988776655
ham,Thanks for sending!
ham,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...
ham,"Cool, text me when you're parked"
spam,Instant loan - get 10000 Rs in 1 hour! Apply at winner.com
ham,Hey i'm bored... So i'm thinking of u... So wat r u doing?
spam,Online SMS sending - earn 5000 Rs weekly! Join at bet365.in
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
ham,K do I need a login or anything
spam,Part time captcha solving - earn 25 lakh monthly! Apply at lottery.in
spam,Business loan - get 2 crore in 24 hours. WhatsApp +918899776655
ham,Am not interested to do like that.
ham,"Aight, can you text me the address?"
ham,Thats cool. I want to please you...
ham,Aight ill get on fb in a couple minutes
spam,ICICI Bank: Your debit card will expire. Renew at icici-renewal.com
spam,data entry jobs - earn 2 crore per day! Register at prize.in
spam,HDFC: Your account is locked. Update KYC at update.com
spam,URGENT: IPL betting bonus 5 crore! Claim at bet365.in
ham,Oh k...i'm watching here:)
ham,I think asking for a gym is the excuse for lazy people. I jog.
ham,If u dun drive then how i go 2 sch.
spam,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,Where r we meeting?
spam,"AirPods at 90% off! Hurry, buy at claim.com"
ham,"sry can't talk on phone, with parents"
spam,Axis: Your account is locked. Update KYC at bet365.in
ham,Have you always been saying welp?
spam,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow
ham,I'll be there in 10 minutes
spam,IDBI: Your account is locked. Update KYC at prize.in
ham,Did you try making another butt.
ham,Let's discuss this at 5pm
spam,Win 25 lakh in cricket betting! Play now at verify.in
ham,No way I'm going back there!
spam,Your Passport is blocked! Update at lottery.in immediately
ham,No da. . Vijay going to talk in jaya tv
ham,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8
spam,horse racing betting - get 300% bonus! Join claim.com
ham,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx
spam,Gold loan approved! Get 10 crore instantly. Apply at verify.in
spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p"
ham,WOT U UP 2 J?
spam,Business loan approved! Get 5000 Rs instantly. Apply at lottery.in
spam,Your number won 2 crore! Claim at kyc.in
spam,Bet on horse racing and win big! Minimum bet 100 Rs only
spam,WhatsApp +919988776655 to claim your prize of 10000 Rs!
spam,Your number won 1 lakh! Claim at secure.com
spam,**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270
ham,There is a first time for everything :)
spam,"Smart TV at 50% off! Hurry, buy at verify.in"
ham,No problem at all
spam,"Shoes at 70% off! Hurry, buy at prize.in"
ham,Then anything special?
spam,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
ham,NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT
spam,form filling jobs - earn 1 crore daily! Join at winner.com
spam,Blood pressure control - natural remedy! Buy at bp-control.in
ham,Left dessert. U wan me 2 go suntec look 4 u?
spam,Part time data entry - earn 1 lakh monthly! Apply at claim.com
spam,"Watch at 80% off! Hurry, buy at prize.in"
spam,Place bets on horse racing! Minimum deposit 5000 Rs. WhatsApp +447890123456
spam,MacBook for 5 crore only! Limited stock at secure.com
ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
ham,Omg it could snow here tonite!
ham,Okay same with me. Well thanks for the clarification
spam,SBI: Your debit card will expire. Renew at lottery.in
spam,IPL betting - get 200% bonus! Join verify.in
spam,Bet on IPL and win 5000 Rs! Register at claim.com
ham,Haiyoh... Maybe your hamster was jealous of million
ham,We can go 4 e normal pilates after our intro...  
ham,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?
ham,R u here yet? I'm wearing blue shirt n black pants.
ham,How was your interview?
ham,How much for an eighth?
ham,"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad"
spam,FreeMsg: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop
ham,Ok thanx...
ham,"No, I was trying it all weekend ;V"
spam,Business loan approved! Get 10 crore instantly. Apply at bet365.in
spam,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611
spam,WhatsApp +919876543210 for SMS sending - earn 5 crore/month
spam,WhatsApp +447310399942 for captcha solving - earn 5 lakh/month
ham,We stopped to get ice cream and will go back after
spam,WhatsApp +919123456789 for captcha solving - earn 5 lakh/month
spam,Education loan - get 10 crore in 24 hours. WhatsApp +918899776655
spam,CONGRATULATIONS! You won 10 lakh in Reliance lottery! Call +919876543210
spam,Laptop at 70% discount! Buy now at lottery.in
spam,cricket betting - get 100% bonus! Join prize.in
ham,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it."
spam,Samsung Galaxy for 10 crore only! Limited stock at verify.in
spam,"Shoes at 70% off! Hurry, buy at winner.com"
ham,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin
spam,"iPhone 14 at 60% off! Hurry, buy at lottery.in"
ham,I'm working downtown today
ham,:-) yeah! Lol. Luckily i didn't have a starring role like you!
spam,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
ham,I accidentally deleted the message. Resend please.
spam,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub
ham,I'll be there in the morning
ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
spam,HDFC: Your debit card will expire. Renew at update.com
spam,IDBI: Your debit card will expire. Renew at winner.com
ham,Dunno da next show aft 6 is 850. Toa payoh got 650.
spam,Work from home - earn 1 lakh monthly! Register at lottery.in
spam,form filling jobs - earn 1 crore per day! Register at bet365.in
spam,Place bets on IPL! Minimum deposit 2 crore. WhatsApp +918765432109
ham,You are not bothering me but you have to trust my answers. Pls.
ham,HELLO PEACH! MY CAKE TASTS LUSH!
ham,Ok. Very good. Its all about making that money.
ham,I'm working on details right now
ham,They just talking thats it de. They wont any other.
spam,SBI: Your debit card will expire. Renew at betking.com
ham,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time
spam,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05
spam,Part time SMS sending - earn 2 crore monthly! Apply at prize.in
spam,Business loan - get 50 lakh in 24 hours. WhatsApp +918899776655
ham,Yar... I tot u knew dis would happen long ago already.
ham,Near kalainar tv office.thenampet
ham,Haha... dont be angry with yourself... Take it as a practice for the real thing. =) 
spam,Instant loan - get 50000 Rs in 1 hour! Apply at kyc.in
ham,Ok. But i finish at 6.
ham,And stop being an old man. You get to build snowman snow angels and snowball fights.
spam,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
ham,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
ham,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!
spam,ICICI: Your account is locked. Update KYC at kyc.in
spam,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
ham,PS U no ur a grown up now right?
ham,.Please charge my mobile when you get up in morning.
ham,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...
ham,Wait.i will come out.. &lt;#&gt;  min:)
ham,Thanks honey. Have a great day.
spam,RECPT 1/3. You have ordered a Ringtone. Your order is being processed...
spam,Yes Bank Alert: Unusual transaction. Verify at prize.in
spam,PNB Alert: Suspicious activity. Click prize.in to secure account
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
spam,URGENT: tennis betting bonus 10 lakh! Claim at lottery.in
ham,"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure"
spam,Personal loan at 6% interest! Apply at betking.com
ham,"Velly good, yes please!"
spam,email reading jobs - earn 25 lakh daily! Join at claim.com
spam,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
ham,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN
ham,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible
spam,WhatsApp +919123456789 for captcha solving - earn 50 lakh/month
ham,Ok. How many should i buy.
ham,Did you get any gift? This year i didnt get anything. So bad
spam,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468
ham,Ok. Me watching tv too.
ham,I'm sorry for the delay
spam,URGENT: IPL betting bonus 1 lakh! Claim at winner.com
ham,"Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna"
spam,Credit card loan approved! Get 50 lakh instantly. Apply at lottery.in
spam,WhatsApp +447310399942 for survey - earn 10000 Rs/month
ham,I'm freezing and craving ice. Fml
ham,But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.
spam,Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX
ham,I need... Coz i never go before 
spam,tennis betting - get 200% bonus! Join update.com
spam,typing jobs - earn 2 crore daily! Join at kyc.in
spam,Win 50 lakh in kabaddi betting! Play now at verify.in
spam,IPL betting - get 200% bonus! Join update.com
spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 
